Batch,No,Param:max length,Param:max length,Param:max freq,Param:guest word count,All word count,Seed word,Seed word freq,Seed word len,Sum freq of the other words,Sum len of the other words,Freq factor,Count factor,Len factor,Difficulty,The other words
1,1,2,3,1500,3,3,for,8,3,23,4,31,9,12,3348,of;or
1,7,2,3,1500,3,3,its,52,3,19,4,71,9,12,7668,is;it
1,4,2,3,1500,3,3,one,30,3,54,4,84,9,12,9072,on;no
1,3,2,3,1500,3,4,not,18,3,58,6,76,12,18,16416,to;on;no
1,6,2,3,1500,3,3,may,48,3,350,4,398,9,12,42984,my;am
1,2,2,3,1500,3,3,was,10,3,386,5,396,9,15,53460,as;saw
1,5,2,3,1500,3,3,who,36,3,1367,5,1403,9,15,189405,how;oh
1,10,2,3,1500,3,3,how,123,3,1280,5,1403,9,15,189405,who;oh
1,8,2,3,1500,3,5,now,68,3,1261,10,1329,15,30,598050,on;no;own;won
1,9,2,3,1500,3,5,own,116,3,1213,10,1329,15,30,598050,on;no;now;won
2,15,2,4,2000,4,4,when,37,4,175,7,212,16,28,94976,he;new;we
2,13,2,4,2000,4,4,they,29,4,299,8,328,16,32,167936,the;he;yet
2,11,2,4,2000,4,5,from,19,4,214,11,233,20,44,205040,of;for;or;form
2,17,2,4,2000,4,7,into,53,4,93,13,146,28,52,212576,to;in;on;it;not;no
2,20,2,4,2000,4,4,then,66,4,476,8,542,16,32,277504,the;he;ten
2,16,2,4,2000,4,4,time,47,4,622,7,669,16,28,299712,it;me;met
2,19,2,4,2000,4,5,them,60,4,628,10,688,20,40,550400,the;he;me;met
2,14,2,4,2000,4,4,more,34,4,1379,8,1413,16,32,723456,or;me;rome
2,18,2,4,2000,4,4,than,59,4,1751,7,1810,16,28,810880,at;an;hat
2,12,2,4,2000,4,7,this,20,4,3269,16,3289,28,64,5893888,is;it;his;its;hit;sit
3,24,3,5,2500,5,5,these,63,5,284,12,347,25,60,520500,the;she;see;set
3,21,3,5,2500,5,6,there,38,5,1067,19,1105,30,95,3149250,the;her;three;here;tree
3,22,3,5,2500,5,5,other,41,5,2921,13,2962,25,65,4813250,the;her;hot;hero
3,23,3,5,2500,5,5,first,58,5,3763,12,3821,25,60,5731500,its;sir;fit;sit
3,26,3,5,2500,5,6,under,92,5,3126,15,3218,30,75,7240500,end;red;run;due;den
3,28,3,5,2500,5,6,world,98,5,3229,17,3327,30,85,8483850,old;word;low;lord;row
3,30,3,5,2500,5,7,those,105,5,2986,20,3091,35,100,10818500,the;she;set;hot;shot;host
3,27,3,5,2500,5,8,years,94,5,5023,23,5117,40,115,23538200,are;year;say;sea;easy;yes;era
3,29,3,5,2500,5,10,great,100,5,8330,29,8430,50,145,61117500,are;get;art;age;rate;eat;gate;tea;era
3,25,3,5,2500,5,10,after,65,5,9623,29,9688,50,145,70238000,are;art;far;rate;fear;eat;tea;era;fat
4,32,3,5,3000,5,6,three,117,5,988,19,1105,30,95,3149250,the;there;her;here;tree
4,40,3,5,3000,5,5,white,188,5,3590,13,3778,25,65,6139250,the;with;hit;wet
4,37,3,5,3000,5,5,days,158,4,5386,12,5544,25,48,6652800,day;say;das;sad
4,36,3,5,3000,5,5,every,154,5,3816,14,3970,25,70,6947500,very;ever;eye;rev
4,31,3,5,3000,5,5,could,87,5,6002,15,6089,25,75,11416875,old;cold;col;cloud
4,35,3,5,3000,5,5,since,152,5,7257,13,7409,25,65,12039625,ice;nice;inc;sin
4,34,3,5,3000,5,6,still,141,5,5432,17,5573,30,85,14211150,its;list;till;ill;sit
4,39,3,5,3000,5,8,large,179,5,10017,23,10196,40,115,46901600,are;age;real;era;leg;ear;earl
4,33,3,5,3000,5,10,state,139,5,10207,32,10346,50,160,82768000,set;sea;east;sat;seat;test;eat;tea;taste
4,38,3,5,3000,5,11,water,172,5,12772,32,12944,55,160,113907200,are;war;art;rate;eat;wear;tea;era;wet;ear
5,50,3,6,3500,6,8,women,207,5,4561,21,4768,48,105,24030720,one;now;new;own;men;won;mon
5,41,3,6,3500,6,6,before,84,6,8200,18,8284,36,108,32208192,for;free;fee;beer;bore
5,46,3,6,3500,6,8,called,180,6,5308,25,5488,48,150,39513600,all;call;led;deal;lead;del;cell
5,47,3,6,3500,6,7,family,185,6,9585,20,9770,42,120,49240800,may;lay;fly;mail;aim;fail
5,42,3,6,3500,6,8,should,121,6,8278,27,8399,48,162,65310624,old;hold;los;soul;sold;holds;loud
5,49,3,6,3500,6,10,times,200,5,11396,31,11596,60,155,107842800,time;its;set;met;site;sit;mit;items;tie
5,43,3,6,3500,6,9,little,149,6,12952,28,13101,54,168,118852272,let;tell;title;till;ill;lie;tie;lit
5,44,3,6,3500,6,10,united,166,6,14785,29,14951,60,174,156088440,end;due;ten;die;den;net;tied;tie;tend
5,45,3,6,3500,6,13,states,173,6,14773,46,14946,78,276,321757488,set;state;sea;east;sat;seat;test;eat;tea;taste;sets;seats
5,48,3,6,3500,6,16,second,196,6,17835,55,18031,96,330,571222080,one;end;does;once;son;done;des;send;ones;ends;den;con;nose;code;codes
6,51,3,6,4000,7,8,around,219,6,2905,24,3124,56,144,25191936,and;our;road;round;run;nor;ran
6,54,3,6,4000,7,7,often,231,5,4941,20,5172,49,100,25342800,not;one;ten;note;tone;net
6,53,3,6,4000,7,7,return,229,6,6695,21,6924,49,126,42748776,run;true;turn;ten;net;rent
6,60,3,6,4000,7,7,taken,273,5,10016,20,10289,49,100,50416100,take;ten;eat;tea;net;kate
6,55,3,6,4000,7,8,party,240,5,10872,23,11112,56,115,71561280,part;art;pay;try;par;ray;pray
6,58,3,6,4000,7,11,always,266,6,5456,33,5722,77,198,87237612,was;way;away;law;say;saw;laws;ways;las;lay
6,57,3,6,4000,7,10,death,263,5,9510,31,9773,70,155,106037050,the;had;head;date;heat;eat;hat;tea;hate
6,59,3,6,4000,7,9,early,271,5,12221,27,12492,63,135,106244460,are;year;real;lay;era;ear;earl;ray
6,52,3,6,4000,7,10,course,228,6,12521,36,12749,70,216,192764880,use;our;rose;sure;source;user;score;sur;cure
6,56,3,6,4000,7,18,others,245,6,11403,69,11648,126,414,607606272,the;her;other;she;those;set;short;rest;hot;horse;rose;shot;sort;store;host;shore;hero
7,65,4,7,4500,7,8,however,164,7,6339,29,6503,56,203,73926104,were;over;where;here;ever;hero;wore
7,68,4,7,4500,7,8,english,204,7,7266,31,7470,56,217,90775440,line;single;lines;sign;lies;legs;sing
7,70,4,7,4500,7,7,service,225,7,10471,26,10696,49,182,95386928,ever;serve;rise;vice;rice;verse
7,62,4,7,4500,7,7,because,126,7,11680,27,11806,49,189,109335366,case;cause;base;ease;abuse;cease
7,61,4,7,4500,7,9,through,85,7,18130,36,18215,63,252,289181340,though;hour;tour;rough;hurt;hugh;ought;ruth
7,66,4,7,4500,7,10,country,167,7,16752,40,16919,70,280,331612400,your;court;turn;county;count;tour;corn;unto;torn
7,63,4,7,4500,7,10,against,143,7,17153,40,17296,70,280,339001600,again;sign;gain;saint;asia;sing;santa;giant;sang
7,69,4,7,4500,7,16,several,224,7,27395,68,27619,112,476,1472424128,ever;real;leave;save;else;serve;leaves;sale;slave;earl;ease;verse;ears;seal;reveal
7,67,4,7,4500,7,17,general,170,7,34747,74,34917,119,518,2152353714,large;near;real;green;learn;range;agree;angel;earl;anger;angle;lane;earn;rage;eagle;eager
7,64,4,7,4500,7,22,another,145,7,36688,90,36833,154,630,3573537660,other;than;then;near;heart;north;note;earth;rate;hear;heat;tone;hero;hate;hart;rent;earn;throne;horn;torn;tear
8,72,4,7,5000,8,8,history,255,7,7283,31,7538,64,217,104687744,this;short;story;shot;sort;host;shirt
8,75,4,7,5000,8,8,either,300,6,9613,31,9913,64,186,118004352,their;there;three;here;tree;thee;hire
8,80,4,7,5000,8,8,single,325,6,11937,29,12262,64,174,136549632,line;lines;sign;lies;legs;sing;isle
8,78,4,7,5000,8,9,things,311,6,10037,37,10348,72,222,165402432,this;night;thing;sign;sight;thin;sing;nights
8,76,4,7,5000,8,8,written,302,7,12386,31,12688,64,217,176210944,went;write;winter;wine;wire;rent;tent
8,74,4,7,5000,8,9,later,294,5,19307,34,19601,72,170,239916240,real;late;rate;tale;earl;alter;tear;alert
8,73,4,7,5000,8,11,least,285,5,18868,42,19153,88,210,353947440,last;late;east;seat;salt;sale;tale;tales;seal;steal
8,77,4,7,5000,8,11,rather,309,6,16697,42,17006,88,252,377125056,heart;earth;rate;hear;heat;rare;rear;hate;hart;tear
8,71,4,7,5000,8,15,present,252,7,25372,64,25624,120,448,1377546240,seen;sent;rest;tree;peter;enter;step;spent;trees;rent;stern;nest;steep;enters
8,79,4,7,5000,8,17,already,315,7,28785,68,29100,136,476,1883817600,year;early;real;read;deal;lead;lady;ready;area;dear;delay;yard;earl;dare;layer;rely
9,88,4,8,5500,8,8,france,335,6,10936,28,11271,64,168,121185792,near;care;face;race;fear;earn;fare
9,87,4,8,5500,8,8,heart,332,5,12981,29,13313,64,145,123544640,earth;rate;hear;heat;hate;hart;tear
9,85,4,8,5500,8,8,person,287,6,17791,30,18078,64,180,208258560,open;rose;ones;nose;opens;rope;prose
9,84,4,8,5500,8,9,together,267,8,10052,36,10319,72,288,213974784,there;other;three;here;tree;hero;teeth;thee
9,89,4,8,5500,8,13,support,342,7,29119,50,29461,104,350,1072380400,post;stop;sort;spot;port;tour;sport;pour;puts;ports;soup;tops
9,83,4,8,5500,8,12,received,237,8,30428,54,30665,96,432,1271738880,ever;receive;drive;ride;vice;rice;device;deer;derive;decree;eric
